HGNC ID	RefSeqAcc	RefSeq	Canonical transcript	Approved symbol	NCBI gene ID	Ensembl gene ID
HGNC:410	NM_000694	NP_000685	ENST00000342456	ALDH3B1	221	ENSG00000006534
HGNC:16460	NM_014808	NP_055623	ENST00000264042	FARP2	9855	ENSG00000006607
HGNC:12597	NM_153676	NP_710142	ENST00000005226	USH1C	10083	ENSG00000006611
HGNC:21705	NM_024051	NP_076956	ENST00000275428	GGCT	79017	ENSG00000006625
HGNC:17364	NM_006716	NP_006707	ENST00000265728	DBF4	10926	ENSG00000006634
HGNC:30054	NM_020129	NP_064514	ENST00000392052	LGALS14	56891	ENSG00000006659
HGNC:2260	NM_001303	NP_001294	ENST00000261643	COX10	1352	ENSG00000006695
HGNC:25459	NM_019088	NP_061961	ENST00000221265	PAF1	54623	ENSG00000006712
HGNC:12713	NM_014396	NP_055211	ENST00000310301	VPS41	27072	ENSG00000006715
HGNC:29096	NM_014859	NP_055674	ENST00000379672	ARHGAP44	9912	ENSG00000006740
HGNC:14198	NM_018127	NP_060597	ENST00000338034	ELAC2	60528	ENSG00000006744
HGNC:21695	NM_001112706	NP_001106177	ENST00000297029	SCIN	85477	ENSG00000006747
HGNC:717	NM_001669	NP_001660	ENST00000381154	ARSD	414	ENSG00000006756
HGNC:24887	NM_004650	NP_004641	ENST00000381042	PNPLA4	8228	ENSG00000006757
HGNC:24041	NM_024551	NP_078827	ENST00000357103	ADIPOR2	79602	ENSG00000006831
HGNC:15483	NM_001113575	NP_001107047	ENST00000265334	CDKL3	51265	ENSG00000006837
HGNC:13538	NM_001199867	NP_001186796	ENST00000262891	MARK4	57787	ENSG00000007047
HGNC:25171	NM_001136203	NP_001129675	ENST00000445755	CCDC124	115098	ENSG00000007080
HGNC:8574	NM_000430	NP_000421	ENST00000397195	PAFAH1B1	5048	ENSG00000007168
HGNC:7873	NM_000625	NP_000616	ENST00000313735	NOS2	4843	ENSG00000007171
HGNC:28960	NM_014680	NP_055495	ENST00000528896	KIAA0100	9703	ENSG00000007202
